 P1(4): d+c+b+a
 P2(4): d+c+b+!a
 P3(3): d+c+b
 P6(6): !a*!b+a*b+d+c
 P7(4): a*b+d+c
 P8(4): d+c+!b+!a
 P9(6): a*!b+!a*b+d+c
 P10(3): d+c+!a
 P11(4): !a*b+d+c
 P14(4): !a*!b+d+c
 P15(2): d+c
 P22(7): !a*!b*!c+b*c+a*c+a*b+d
 P23(4): b*c+a*c+a*b+d
 P24(7): !b*!c+a*c+!a*b+d
 P25(6): b*c+a*!b+!a*b+d
 P26(6): !a*!c+b*c+a*c+d
 P27(5): a*c+!a*b+d
 P30(7): !a*!b*!c+b*c+a*c+d
 P31(4): b*c+a*c+d
 P40(6): !b*!c+b*c+d+!a
 P41(7): a*!b*!c+b*c+!a*c+!a*b+d
 P42(4): b*c+d+!a
 P43(4): b*c+!a*c+!a*b+d
 P44(6): !b*!c+b*c+!a*c+d
 P45(7): a*!b*!c+b*c+!a*c+d
 P46(5): b*c+!a*!b+d
 P47(4): b*c+!a*c+d
 P60(5): !b*!c+b*c+d
 P61(6): a*!b*!c+b*c+d
 P62(6): !a*!b*!c+b*c+d
 P63(3): b*c+d
 P104(7): a*b*c+!b*!c+!a*!c+!a*!b+d
 P105(7): a*!b*!c+!a*b*!c+!a*!b*c+a*b*c+d
 P106(7): a*b*c+!a*!c+!a*!b+d
 P107(7): !a*b*!c+!a*!b*c+a*b*c+d
 P110(6): a*b*c+!a*!b+d
 P111(6): !a*!b*c+a*b*c+d
 P126(7): !a*!b*!c+a*b*c+d
 P127(4): a*b*c+d
 P128(4): d+!c+!b+!a
 P129(7): a*!c+!b*c+!a*b+d
 P130(6): b*!c+!b*c+d+!a
 P131(6): b*!c+!b*c+!a*c+d
 P134(7): a*b*!c+!b*c+!a*c+!a*!b+d
 P135(7): a*b*!c+!b*c+!a*c+d
 P136(3): d+!b+!a
 P137(6): !b*c+a*!b+!a*b+d
 P138(4): !b*c+d+!a
 P139(5): !b*c+!a*b+d
 P142(4): !b*c+!a*c+!a*!b+d
 P143(4): !b*c+!a*c+d
 P150(7): !a*!b*!c+a*b*!c+a*!b*c+!a*b*c+d
 P151(7): a*b*!c+a*!b*c+!a*b*c+d
 P152(6): !b*!c+a*!b+!a*b+d
 P153(5): a*!b+!a*b+d
 P154(7): a*!b*c+!a*!c+!a*b+d
 P155(6): a*!b*c+!a*b+d
 P158(7): !a*!b*!c+a*!b*c+!a*b*c+d
 P159(6): a*!b*c+!a*b*c+d
 P168(4): !b*!c+d+!a
 P169(7): a*!b*!c+!a*c+!a*b+d
 P170(2): d+!a
 P171(4): !a*c+!a*b+d
 P172(5): !b*!c+!a*c+d
 P173(6): a*!b*!c+!a*c+d
 P174(4): !a*c+!a*!b+d
 P175(3): !a*c+d
 P188(6): !a*b*c+!b*!c+d
 P189(7): a*!b*!c+!a*b*c+d
 P190(6): !a*!b*!c+!a*b*c+d
 P191(4): !a*b*c+d
 P232(4): !b*!c+!a*!c+!a*!b+d
 P233(7): a*!b*!c+!a*b*!c+!a*!b*c+d
 P234(4): !a*!c+!a*!b+d
 P235(6): !a*b*!c+!a*!b*c+d
 P238(3): !a*!b+d
 P239(4): !a*!b*c+d
 P254(4): !a*!b*!c+d
 P255(1): d
 P278(8): !a*!b*!c*!d+c*d+b*d+a*d+b*c+a*c+a*b
 P279(4): c*d+b*d+a*d+b*c+a*c+a*b
 P280(8): !b*!c*!d+c*d+a*d+a*c+!a*b
 P281(6): c*d+b*d+b*c+a*!b+!a*b
 P282(7): !a*!c*!d+c*d+a*d+a*c+!a*b
 P283(5): c*d+a*d+a*c+!a*b
 P286(8): !a*!b*!c*!d+c*d+b*d+a*d+b*c+a*c
 P287(4): c*d+b*d+a*d+b*c+a*c
 P296(8): !b*!c*!d+a*d+b*c+!a*c+!a*b
