name,type,expr,t_ref,reason,our_count
P3,pdn,d+c+b,3,failed,
P3,pun,d+c+b,3,suboptimal,6
P6,pun,!a*!b+a*b+d+c,6,suboptimal,7
P9,pun,a*!b+!a*b+d+c,6,suboptimal,7
P10,pdn,d+c+!a,3,suboptimal,5
P11,pun,!a*b+d+c,4,suboptimal,6
P15,pdn,d+c,2,suboptimal,11
P15,pun,d+c,2,suboptimal,15
P22,pdn,!a*!b*!c+b*c+a*c+a*b+d,8,suboptimal,10
P23,pun,b*c+a*c+a*b+d,6,suboptimal,8
P25,pun,b*c+a*!b+!a*b+d,6,suboptimal,7
P27,pun,a*c+!a*b+d,5,suboptimal,6
P30,pun,!a*!b*!c+b*c+a*c+d,7,suboptimal,11
P41,pdn,a*!b*!c+b*c+!a*c+!a*b+d,8,suboptimal,9
P44,pun,!b*!c+b*c+!a*c+d,6,suboptimal,8
P45,pun,a*!b*!c+b*c+!a*c+d,7,suboptimal,14
P46,pun,b*c+!a*!b+d,5,suboptimal,6
P60,pdn,!b*!c+b*c+d,5,suboptimal,18
P60,pun,!b*!c+b*c+d,5,suboptimal,8
P61,pdn,a*!b*!c+b*c+d,6,suboptimal,8
P61,pun,a*!b*!c+b*c+d,6,suboptimal,9
P62,pun,!a*!b*!c+b*c+d,6,suboptimal,11
P63,pdn,b*c+d,3,failed,
P63,pun,b*c+d,3,suboptimal,6
P104,pdn,a*b*c+!b*!c+!a*!c+!a*!b+d,8,suboptimal,9
P104,pun,a*b*c+!b*!c+!a*!c+!a*!b+d,8,suboptimal,11
P105,pun,a*!b*!c+!a*b*!c+!a*!b*c+a*b*c+d,9,suboptimal,13
P106,pun,a*b*c+!a*!c+!a*!b+d,7,suboptimal,18
P107,pun,!a*b*!c+!a*!b*c+a*b*c+d,8,suboptimal,17
P110,pdn,a*b*c+!a*!b+d,6,suboptimal,7
P110,pun,a*b*c+!a*!b+d,6,suboptimal,8
P131,pdn,b*!c+!b*c+!a*c+d,6,suboptimal,7
