name,expr,n_vars,n_pdn,n_pun,n_common_neg,total,pdn_ok,pun_ok,complete
P1,d+c+b+a,4,4,4,0,8,True,True,True
P2,d+c+b+!a,4,4,4,1,10,True,True,True
P3,d+c+b,3,,6,,,False,True,False
P6,!a*!b+a*b+d+c,4,6,7,2,17,True,True,True
P7,a*b+d+c,4,4,4,0,8,True,True,True
P8,d+c+!b+!a,4,4,4,2,12,True,True,True
P9,a*!b+!a*b+d+c,4,6,7,2,17,True,True,True
P10,d+c+!a,3,5,3,1,10,True,True,True
P11,!a*b+d+c,4,4,6,1,12,True,True,True
P14,!a*!b+d+c,4,4,4,2,12,True,True,True
P15,d+c,2,11,15,2,30,True,True,True
P22,!a*!b*!c+b*c+a*c+a*b+d,4,10,8,3,24,True,True,True
P23,b*c+a*c+a*b+d,4,6,8,0,14,True,True,True
P24,!b*!c+a*c+!a*b+d,4,7,7,3,20,True,True,True
P25,b*c+a*!b+!a*b+d,4,6,7,2,17,True,True,True
P26,!a*!c+b*c+a*c+d,4,6,6,2,16,True,True,True
P27,a*c+!a*b+d,4,5,6,1,13,True,True,True
P30,!a*!b*!c+b*c+a*c+d,4,7,11,3,24,True,True,True
P31,b*c+a*c+d,4,4,4,0,8,True,True,True
P40,!b*!c+b*c+d+!a,4,6,6,3,18,True,True,True
P41,a*!b*!c+b*c+!a*c+!a*b+d,4,9,8,3,23,True,True,True
P42,b*c+d+!a,4,4,4,1,10,True,True,True
P43,b*c+!a*c+!a*b+d,4,6,6,1,14,True,True,True
P44,!b*!c+b*c+!a*c+d,4,6,8,3,20,True,True,True
P45,a*!b*!c+b*c+!a*c+d,4,7,14,3,27,True,True,True
P46,b*c+!a*!b+d,4,5,6,2,15,True,True,True
P47,b*c+!a*c+d,4,4,4,1,10,True,True,True
P60,!b*!c+b*c+d,3,18,8,2,30,True,True,True
P61,a*!b*!c+b*c+d,4,8,9,2,21,True,True,True
P62,!a*!b*!c+b*c+d,4,6,11,3,23,True,True,True
P63,b*c+d,3,,6,,,False,True,False
P104,a*b*c+!b*!c+!a*!c+!a*!b+d,4,9,11,3,26,True,True,True
P105,a*!b*!c+!a*b*!c+!a*!b*c+a*b*c+d,4,9,13,3,28,True,True,True
P106,a*b*c+!a*!c+!a*!b+d,4,7,18,3,31,True,True,True
P107,!a*b*!c+!a*!b*c+a*b*c+d,4,8,17,3,31,True,True,True
P110,a*b*c+!a*!b+d,4,7,8,3,21,True,True,True
P111,!a*!b*c+a*b*c+d,4,6,6,2,16,True,True,True
P126,!a*!b*!c+a*b*c+d,4,7,7,3,20,True,True,True
P127,a*b*c+d,4,4,4,0,8,True,True,True
P128,d+!c+!b+!a,4,4,4,3,14,True,True,True
P129,a*!c+!b*c+!a*b+d,4,7,7,3,20,True,True,True
P130,b*!c+!b*c+d+!a,4,6,6,3,18,True,True,True
P131,b*!c+!b*c+!a*c+d,4,7,10,3,23,True,True,True
P134,a*b*!c+!b*c+!a*c+!a*!b+d,4,9,8,3,23,True,True,True
P135,a*b*!c+!b*c+!a*c+d,4,7,10,3,23,True,True,True
P136,d+!b+!a,3,8,3,2,15,True,True,True
P137,!b*c+a*!b+!a*b+d,4,6,7,2,17,True,True,True
P138,!b*c+d+!a,4,4,4,2,12,True,True,True
P139,!b*c+!a*b+d,4,5,6,2,15,True,True,True
P142,!b*c+!a*c+!a*!b+d,4,6,7,2,17,True,True,True
P143,!b*c+!a*c+d,4,4,4,2,12,True,True,True
P150,!a*!b*!c+a*b*!c+a*!b*c+!a*b*c+d,4,9,9,3,24,True,True,True
P151,a*b*!c+a*!b*c+!a*b*c+d,4,13,10,3,29,True,True,True
P152,!b*!c+a*!b+!a*b+d,4,6,7,3,19,True,True,True
P153,a*!b+!a*b+d,3,6,7,2,17,True,True,True
P154,a*!b*c+!a*!c+!a*b+d,4,7,11,3,24,True,True,True
P155,a*!b*c+!a*b+d,4,6,8,2,18,True,True,True
P158,!a*!b*!c+a*!b*c+!a*b*c+d,4,8,17,3,31,True,True,True
P159,a*!b*c+!a*b*c+d,4,6,6,2,16,True,True,True
P168,!b*!c+d+!a,4,4,4,3,14,True,True,True
P169,a*!b*!c+!a*c+!a*b+d,4,7,11,3,24,True,True,True
P170,d+!a,2,7,5,1,14,True,True,True
P171,!a*c+!a*b+d,4,4,4,1,10,True,True,True
P172,!b*!c+!a*c+d,4,5,9,3,20,True,True,True
P173,a*!b*!c+!a*c+d,4,6,9,3,21,True,True,True
P174,!a*c+!a*!b+d,4,4,4,2,12,True,True,True
P175,!a*c+d,3,3,3,1,8,True,True,True
P188,!a*b*c+!b*!c+d,4,8,11,3,25,True,True,True
P189,a*!b*!c+!a*b*c+d,4,7,8,3,21,True,True,True
P190,!a*!b*!c+!a*b*c+d,4,8,9,3,23,True,True,True
P191,!a*b*c+d,4,4,5,1,11,True,True,True
